#obsHistID,expMJD
220,59580.13542
230,59580.14095
200,59580.12572
276,59580.16285
250,59580.15065
1637,59582.12572
2226,59583.06481
2942,59584.06278
3665,59585.06279
4571,59586.1531
185880,59825.26801
185900,59825.27771
185870,59825.26248
185946,59825.29961
185926,59825.28991
195066,59841.25308
195086,59841.26278
195056,59841.24754
195132,59841.28467
195112,59841.27497
201057,59851.19465
203015,59854.29877
203030,59854.30638
203005,59854.29323
203062,59854.337
203036,59854.3248
204764,59857.19689
204784,59857.20659
204754,59857.19136
204830,59857.22849
204810,59857.21879
213188,59868.17321
213208,59868.18291
213178,59868.16768
213254,59868.20481
213234,59868.19511
215614,59871.15695
215634,59871.16665
215604,59871.15142
215680,59871.18855
215660,59871.17885
218093,59874.20691
218713,59875.12281
219482,59876.11819
220306,59877.12086
221009,59878.11577
221784,59879.11137
222588,59880.12084
225816,59884.13346
225836,59884.14316
225806,59884.12793
225882,59884.16506
225862,59884.15536
228045,59887.10496
228065,59887.11466
228035,59887.09943
228111,59887.13656
228091,59887.12686
229510,59896.09302
229530,59896.10272
229500,59896.08748
229576,59896.12461
229556,59896.11492
231732,59899.09478
231752,59899.10448
231722,59899.08925
231798,59899.12638
231778,59899.11668
233983,59902.10125
234003,59902.11095
233973,59902.09572
234049,59902.13285
234029,59902.12315
235424,59904.09131
236075,59905.05074
236805,59906.05164
237548,59907.06147
238249,59908.05256
238951,59909.05344
239690,59910.06291
242606,59914.06208
242626,59914.07178
242596,59914.05655
242672,59914.09368
242652,59914.08398
245160,59917.2704
245170,59917.27593
245140,59917.2607
245216,59917.29783
245190,59917.28563
249686,59924.0682
249706,59924.0779
249676,59924.06267
249752,59924.0998
249732,59924.0901
251116,59927.07002
251136,59927.07972
251106,59927.06449
251182,59927.10162
251162,59927.09192
253216,59930.0712
253236,59930.0809
253206,59930.06567
253273,59930.09905
253262,59930.0931
255286,59933.07402
255306,59933.08371
255276,59933.06848
255333,59933.11235
255319,59933.0905
256143,59934.16409
256672,59935.07709
257380,59936.07766
258075,59937.0777
258749,59938.0688
259446,59939.07429
260818,59942.08611
260828,59942.09164
260808,59942.06597
260874,59942.11354
260848,59942.10134
262926,59945.08303
262936,59945.08856
262906,59945.07333
262982,59945.11046
262956,59945.09826
427896,60192.30247
427916,60192.31217
427886,60192.29694
427962,60192.33407
427942,60192.32437
429565,60195.24312
429585,60195.25282
429555,60195.23759
429631,60195.27472
429611,60195.26502
431665,60198.26316
432513,60199.23563
433452,60200.23324
434360,60201.23143
435277,60202.22469
439521,60209.21288
439541,60209.22257
439511,60209.20734
439587,60209.24447
439567,60209.23477
442176,60212.19576
442196,60212.20546
442166,60212.19023
442242,60212.22736
442222,60212.21766
446970,60222.17842
446990,60222.18812
446960,60222.17289
447036,60222.21002
447016,60222.20032
449057,60225.1577
449077,60225.1674
449047,60225.15217
449123,60225.1893
449103,60225.1796
453842,60236.19399
457075,60240.17468
457095,60240.18438
457065,60240.16915
457141,60240.20628
457121,60240.19658
459770,60243.2827
459780,60243.28823
459750,60243.273
459826,60243.31013
459800,60243.29793
465077,60250.19956
465097,60250.20926
465067,60250.19403
465124,60250.22324
465123,60250.22146
467030,60261.07007
467794,60262.06793
468550,60263.06822
469330,60264.07629
470099,60265.09034
471534,60268.05473
471554,60268.06443
471524,60268.0492
471600,60268.08633
471580,60268.07663
473808,60271.07887
473828,60271.08857
473798,60271.07334
473874,60271.11046
473854,60271.10077
478888,60278.06194
478908,60278.07164
478878,60278.05641
478954,60278.09354
478934,60278.08384
481015,60281.06332
481035,60281.07302
481005,60281.05779
481081,60281.09491
481061,60281.08522
483130,60284.06567
483150,60284.07536
483120,60284.06013
483196,60284.09726
483176,60284.08756
484887,60287.0676
484907,60287.07729
484877,60287.06206
484953,60287.09919
484933,60287.08949
485236,60290.06971
485937,60291.06415
486650,60292.06447
487366,60293.06519
488076,60294.07464
488756,60295.06572
490142,60297.07243
490162,60297.08213
490132,60297.0669
490189,60297.1106
490187,60297.09391
490820,60300.07334
490840,60300.08304
490810,60300.06781
490867,60300.11179
490844,60300.08607
495743,60307.08606
495753,60307.09159
495735,60307.06679
495799,60307.11349
495773,60307.10129
497639,60310.08336
497649,60310.08889
497619,60310.07366
497695,60310.11079
497669,60310.09859
499746,60313.07681
499756,60313.08234
499726,60313.06711
499802,60313.10424
499776,60313.09204
501807,60316.07243
501817,60316.07796
501787,60316.06273
501863,60316.09986
501837,60316.08766
502484,60317.06577
503205,60318.06266
503935,60319.06296
504663,60320.0633
505374,60321.06263
506090,60322.06249
506795,60323.06205
658293,60555.27117
659244,60556.25885
660176,60557.25251
660827,60558.25462
661482,60559.25439
662384,60560.24588
663858,60566.37982
663868,60566.38536
663841,60566.35668
663914,60566.40725
663888,60566.39505
670630,60575.23989
670650,60575.24959
670620,60575.23436
670696,60575.27149
670676,60575.26179
671431,60578.20568
671451,60578.21537
671421,60578.20014
671497,60578.23727
671477,60578.22757
674046,60581.18668
674066,60581.19638
674036,60581.18115
674112,60581.21828
674092,60581.20858
676676,60584.18045
677551,60585.18002
678406,60586.18042
679252,60587.17579
680087,60588.17285
680955,60589.17324
681808,60590.16503
684441,60593.18879
684461,60593.19849
684431,60593.18326
684507,60593.22039
684487,60593.21069
686364,60596.14516
686384,60596.15486
686354,60596.13962
686430,60596.17675
686410,60596.16705
694059,60605.21701
694079,60605.22671
694049,60605.21148
694125,60605.24861
694105,60605.23891
696312,60608.14126
696332,60608.15096
696302,60608.13573
696378,60608.17286
696358,60608.16316
698684,60611.13394
698704,60611.14364
698674,60611.12841
698750,60611.16554
698730,60611.15584
699427,60612.10571
700227,60613.10472
701008,60614.10453
701781,60615.09725
702552,60616.09522
703312,60617.09294
704236,60620.13895
705027,60621.27325
705037,60621.27878
705007,60621.26355
705083,60621.30068
705057,60621.28848
707111,60624.18473
707131,60624.19443
707101,60624.1792
707158,60624.22316
707137,60624.1983
709569,60627.28822
709579,60627.29376
709549,60627.27853
709625,60627.31565
709599,60627.30346
712860,60632.04998
712880,60632.05968
712850,60632.04445
712926,60632.08158
712906,60632.07188
715068,60635.05599
715088,60635.06569
715058,60635.05046
715134,60635.08759
715114,60635.07789
716533,60640.05968
716553,60640.06938
716523,60640.05415
716599,60640.09128
716579,60640.08158
718739,60643.06448
719465,60644.06528
720187,60645.06629
720917,60646.06682
721623,60647.06763
722332,60648.06849
723027,60649.06003
724493,60651.06691
724513,60651.07661
724483,60651.06138
724559,60651.09851
724539,60651.08881
726636,60654.06903
726656,60654.07873
726626,60654.0635
726702,60654.10063
726682,60654.09093
732065,60662.15083
732075,60662.15637
732045,60662.14113
732121,60662.17826
732095,60662.16606
734005,60665.07326
734025,60665.08296
733995,60665.06773
734052,60665.1117
734030,60665.08641
736075,60668.07426
736082,60668.07855
736065,60668.06873
736122,60668.1126
736096,60668.1004
738091,60671.06933
738807,60672.06747
739481,60673.0648
740134,60674.07631
740824,60675.07446
741543,60676.07191
742243,60677.06921
917282,60919.35311
917302,60919.36281
917272,60919.34758
917348,60919.38471
917328,60919.37501
921307,60934.29467
921327,60934.30437
921297,60934.28914
921373,60934.32627
921353,60934.31657
932887,60947.20629
932907,60947.21599
932877,60947.20076
932953,60947.23789
932933,60947.22819
934614,60950.20392
934634,60950.21362
934604,60950.19839
934680,60950.23552
934660,60950.22582
941657,60959.25712
941677,60959.26682
941647,60959.25159
941705,60959.28122
941703,60959.27902
943919,60962.14358
943939,60962.15328
943909,60962.13805
943985,60962.17518
943965,60962.16548
946377,60965.13606
946397,60965.14576
946367,60965.13053
946443,60965.16766
946423,60965.15796
947261,60966.15682
948974,60970.17311
949531,60971.12573
950326,60972.12398
951141,60973.12716
951982,60974.14824
952726,60975.12911
952746,60975.13881
952716,60975.12358
952792,60975.16071
952772,60975.15101
955074,60978.1311
955094,60978.1408
955064,60978.12557
955140,60978.1627
955120,60978.153
956774,60981.13234
956794,60981.14204
956764,60981.12681
956840,60981.16394
956820,60981.15424
959469,60992.13996
959489,60992.14966
959459,60992.13443
959535,60992.17156
959515,60992.16186
961585,60995.05803
962352,60996.06108
963189,60997.10576
963828,60998.05803
964548,60999.04931
965305,61000.0502
966042,61001.0507
969056,61006.06982
969076,61006.07952
969046,61006.06429
969122,61006.10142
969102,61006.09172
970480,61009.06183
970500,61009.07153
970470,61009.0563
970546,61009.09343
970526,61009.08373
975433,61016.06642
975453,61016.07612
975423,61016.06089
975499,61016.09802
975479,61016.08832
976812,61019.06829
976832,61019.07799
976802,61019.06276
976878,61019.09989
976858,61019.09019
978946,61022.0702
978966,61022.0799
978936,61022.06467
979012,61022.1018
978992,61022.0921
981006,61025.06547
981715,61026.06605
982426,61027.06639
983137,61028.0761
983853,61029.07625
984546,61030.0766
985230,61031.07717
988662,61036.07141
988672,61036.09154
988661,61036.06963
988718,61036.11344
988692,61036.10124
990749,61039.08659
990759,61039.09212
990730,61039.06259
990805,61039.11402
990779,61039.10182
994216,61044.07419
994226,61044.07972
994196,61044.06449
994272,61044.10162
994246,61044.08942
995629,61047.07245
995639,61047.07798
995609,61047.06275
995685,61047.09988
995659,61047.08768
997061,61050.07344
997071,61050.07897
997041,61050.06374
997117,61050.10087
997091,61050.08867
997764,61054.07422
997774,61054.07976
997744,61054.06452
997820,61054.10165
997794,61054.08945
998104,61055.06166
998833,61056.06186
999525,61057.06148
1000185,61058.06133
1163962,61285.26412
1163982,61285.27382
1163952,61285.25859
1164028,61285.29572
1164008,61285.28602
1168321,61298.26657
1169136,61299.22936
1172807,61305.28482
1172827,61305.29452
1172797,61305.27928
1172873,61305.31641
1172853,61305.30672
1175685,61308.37888
1175695,61308.38441
1175665,61308.36918
1175715,61308.39411
1181517,61315.2009
1181537,61315.2106
1181507,61315.19536
1181583,61315.23249
1181563,61315.22279
1184084,61318.19651
1184104,61318.2062
1184074,61318.19097
1184150,61318.2281
1184130,61318.2184
1185746,61320.16857
1186645,61321.17291
1187505,61322.16386
1188316,61323.15697
1189123,61324.16157
1189920,61325.157
1190476,61326.151
1193769,61330.17923
1193789,61330.18893
1193759,61330.1737
1193835,61330.21083
1193815,61330.20113
1196177,61333.17234
1196197,61333.18204
1196167,61333.16681
1196243,61333.20394
1196223,61333.19424
1197887,61336.20991
1197907,61336.21961
1197877,61336.20438
1197953,61336.24151
1197933,61336.23181
1202656,61344.17822
1202676,61344.18792
1202646,61344.17269
1202722,61344.20981
1202702,61344.20012
1203468,61348.18078
1203488,61348.19048
1203458,61348.17525
1203534,61348.21238
1203514,61348.20268
1204321,61351.10461
1207607,61359.09974
1207627,61359.10944
1207597,61359.09421
1207673,61359.13134
1207653,61359.12164
1209764,61362.09594
1209784,61362.10564
1209754,61362.09041
1209830,61362.12754
1209810,61362.11784
1211996,61365.12127
1212016,61365.13097
1211986,61365.11574
1212062,61365.15287
1212042,61365.14317
1215576,61370.10599
1215596,61370.11568
1215566,61370.10045
1215642,61370.13758
1215622,61370.12788
1217655,61373.06129
1217675,61373.07099
1217645,61373.05576
1217721,61373.09289
1217701,61373.08319
1219755,61376.06329
1219775,61376.07299
1219745,61376.05776
1219821,61376.09489
1219801,61376.08519
1221143,61379.05918
1221870,61380.05987
1222593,61381.06042
1223281,61382.06105
1223978,61383.06167
1224683,61384.06213
1225365,61385.06258
1228726,61390.14974
1228736,61390.15527
1228706,61390.14004
1228782,61390.17717
1228756,61390.16497
1230491,61393.07236
1230511,61393.08206
1230481,61393.06683
1230538,61393.11055
1230535,61393.09343
1407345,61651.26097
1408223,61652.25936
1409206,61653.2863
1411041,61655.27993
1411061,61655.28963
1411031,61655.2744
1411107,61655.31153
1411087,61655.30183
1414166,61673.20205
1414186,61673.21175
1414156,61673.19652
1414232,61673.23365
1414212,61673.22395
1415537,61677.22734
1416308,61678.18541
1417225,61679.19954
1418064,61680.18301
1418917,61681.17853
1419754,61682.17651
1421608,61684.2462
1421628,61684.2559
1421598,61684.24066
1421674,61684.27779
1421654,61684.26809
1424040,61687.18884
1424060,61687.19854
1424030,61687.18331
1424106,61687.22044
1424086,61687.21074
1426579,61690.20002
1426599,61690.20972
1426569,61690.19449
1426645,61690.23162
1426625,61690.22192
1432876,61698.1264
1432896,61698.1361
1432866,61698.12087
1432942,61698.158
1432922,61698.1483
1434471,61701.15059
1434491,61701.16029
1434461,61701.14505
1434537,61701.18218
1434517,61701.17249
1435719,61704.12875
1435739,61704.13845
1435709,61704.12322
1435785,61704.16035
1435765,61704.15065
1437308,61706.11426
1438069,61707.1099
1438814,61708.10451
1439440,61709.10331
1440233,61710.1187
1440971,61711.11886
1441807,61712.15593
1445792,61725.10957
1445812,61725.11927
1445782,61725.10404
1445858,61725.14117
1445838,61725.13147
1447995,61728.1012
1448015,61728.1109
1447985,61728.09566
1448061,61728.13279
1448041,61728.12309
1450067,61731.05696
1450087,61731.06666
1450057,61731.05143
1450133,61731.08856
1450113,61731.07886
1451466,61734.0524
1452213,61735.05311
1452957,61736.06335
1453654,61737.0544
1454351,61738.05532
1455054,61739.05585
1455784,61740.06592
1458552,61744.06732
1458572,61744.07702
1458542,61744.06179
1458618,61744.09892
1458598,61744.08922
1460578,61747.06673
1460598,61747.07643
1460568,61747.0612
1460644,61747.09833
1460624,61747.08863
1466818,61756.07146
1466838,61756.08116
1466808,61756.06593
1466875,61756.09931
1466864,61756.09336
1468862,61759.07314
1468882,61759.08284
1468852,61759.06761
1468909,61759.11143
1468899,61759.09129
1470139,61762.20799
1470149,61762.21352
1470119,61762.19829
1470195,61762.23542
1470169,61762.22322
1470462,61763.14305
1471016,61764.06871
1471735,61765.06902
1472424,61766.06918
1473113,61767.08382
1473789,61768.0818
1474469,61769.07923
1632179,62014.30559
1632199,62014.31529
1632169,62014.30006
1632245,62014.33719
1632225,62014.32749
1636767,62026.25522
1636787,62026.26492
1636757,62026.24969
1636833,62026.28681
1636813,62026.27712
1639300,62029.24565
1639320,62029.25535
1639290,62029.24012
1639366,62029.27725
1639346,62029.26755
1641170,62031.28132
1641899,62032.21969
1642721,62033.21586
1643615,62034.2156
1644480,62035.21123
1645335,62036.20885
1646218,62037.20493
1648035,62039.25048
1648055,62039.26018
1648025,62039.24495
1648082,62039.27416
1648081,62039.27238
1650433,62042.25899
1650453,62042.26869
1650423,62042.25346
1650499,62042.29059
1650479,62042.28089
1652578,62045.30301
1652586,62045.30771
1652568,62045.29748
1652625,62045.34133
1652599,62045.32913
1659207,62053.15326
1659227,62053.16296
1659197,62053.14773
1659273,62053.18486
1659253,62053.17516
1661533,62056.17405
1661553,62056.18375
1661523,62056.16851
1661599,62056.20564
1661579,62056.19594
1664004,62059.18497
1664711,62060.26664
1665250,62061.13727
1668034,62066.33885
1668479,62067.17401
1668499,62067.18371
1668469,62067.16847
1668545,62067.2056
1668525,62067.1959
1670566,62070.17583
1670586,62070.18552
1670556,62070.17029
1670632,62070.20742
1670612,62070.19772
1676357,62081.12852
1676377,62081.13822
1676347,62081.12299
1676423,62081.16012
1676403,62081.15042
1678590,62084.10082
1678610,62084.11052
1678580,62084.09529
1678656,62084.13242
1678636,62084.12272
1680039,62087.09254
1680059,62087.10224
1680029,62087.08701
1680105,62087.12414
1680085,62087.11444
1681666,62089.22205
1682082,62090.05963
1682923,62091.10595
1683528,62092.05257
1684271,62093.06288
1684522,62094.06814
1685234,62095.07876
1687443,62098.11562
1687463,62098.12532
1687433,62098.11009
1687509,62098.14721
1687489,62098.13752
1689517,62101.10607
1689537,62101.11577
1689507,62101.10054
1689583,62101.13767
1689563,62101.12797
1695600,62111.11411
1695620,62111.12381
1695590,62111.10858
1695647,62111.15255
1695625,62111.12726
1697634,62114.11455
1697642,62114.11925
1697624,62114.10902
1697681,62114.15288
1697655,62114.14068
1699622,62117.12788
1699632,62117.13342
1699620,62117.1112
1699678,62117.15531
1699652,62117.14311
1700170,62118.06464
1700882,62119.06491
1701610,62120.07423
1702301,62121.07489
1702977,62122.06606
1703666,62123.06677
1704332,62124.0673
1706835,62128.08253
1706845,62128.10265
1706834,62128.08075
1706891,62128.12455
1706865,62128.11235
1708824,62131.07265
1708830,62131.09106
1708819,62131.0692
1708876,62131.11296
1708850,62131.10076
1898772,62380.29318
1898792,62380.30288
1898762,62380.28765
1898838,62380.32478
1898818,62380.31508
1901341,62384.26261
1902279,62385.25403
1903208,62386.24456
1904130,62387.24562
1908439,62393.22841
1908459,62393.23811
1908429,62393.22288
1908505,62393.26001
1908485,62393.25031
1912951,62400.38554
1912961,62400.39107
1912931,62400.37584
1912981,62400.40077
1917440,62408.20927
1917460,62408.21897
1917430,62408.20374
1917506,62408.24087
1917486,62408.23117
1919937,62411.17313
1919957,62411.18283
1919927,62411.1676
1920003,62411.20473
1919983,62411.19503
1923194,62415.19213
1924011,62416.16352
1924853,62417.16311
1925703,62418.16566
1926518,62419.15748
1927348,62420.15931
1928238,62421.18699
1929830,62423.34488
1929840,62423.35041
1929810,62423.33518
1929886,62423.37231
1929860,62423.36011
1931862,62426.13759
1931882,62426.14729
1931852,62426.13206
1931928,62426.16919
1931908,62426.15949
1934746,62429.34403
1934756,62429.34957
1934726,62429.33434
1934802,62429.37147
1934776,62429.35927
1937955,62435.12805
1937975,62435.13775
1937945,62435.12252
1938021,62435.15965
1938001,62435.14995
1940256,62438.10011
1940276,62438.10981
1940246,62438.09458
1940322,62438.13171
1940302,62438.12201
1942549,62441.09306
1942569,62441.10276
1942539,62441.08753
1942615,62441.12466
1942595,62441.11496
1944142,62450.15752
1945543,62452.09991
1945563,62452.10961
1945533,62452.09438
1945609,62452.13151
1945589,62452.12181
1946622,62455.0942
1946642,62455.10389
1946612,62455.08866
1946688,62455.12579
1946668,62455.11609
1949399,62458.33519
1949409,62458.34072
1949379,62458.32549
1949429,62458.35042
1952766,62464.06695
1952786,62464.07665
1952756,62464.06141
1952832,62464.09854
1952812,62464.08884
1954919,62467.06063
1954939,62467.07033
1954909,62467.0551
1954985,62467.09223
1954965,62467.08253
1956337,62472.06348
1956357,62472.07318
1956327,62472.05795
1956403,62472.09508
1956383,62472.08538
1957025,62473.05802
1957746,62474.05883
